NAME,POS,3PM,REB,AST,STL,BLK,TO,PTS
Cristiano Felicio,,0,3.5,0.6,0.1,0.1,0.7,3.6
Deonte Burton,,0.3,1.1,0.4,0.2,0.4,0.5,3.5
Ante Zizic,,0,2.9,0.4,0.1,0.1,1,3.5
Gary Clark,,0.9,2.9,0.5,0.5,0.8,0.1,3.4
Gary Trent Jr.,,0.7,1.3,0,0,0,0.3,3.3
Luol Deng,,0,3.7,0.3,0.3,0.3,0.3,3.3
Georges Niang,,0.7,1.3,0.5,0.2,0.1,0.3,3.3
Brad Wanamaker,,0.4,0.7,1.1,0.1,0,0.6,3.1
Kenneth Faried,,0,2,0,0.1,0.1,0.4,3.1
Solomon Hill,,0.5,2.6,1.4,0.5,0.3,0.7,3.1
Jahlil Okafor,,0,1.7,0.1,0,0,0.5,3
Jaylen Morris,,0.3,1,0.7,0.3,0,0.3,3
Vincent Edwards,,1,1,0,0,0,0,3
Tyrone Wallace,,0,0.9,0.3,0.1,0,0.2,2.9
Jerome Robinson,,0.6,0.4,0.1,0,0,0.1,2.9
Jarell Martin,,0.2,2.3,0.6,0.1,0.2,0.4,2.9
Troy Brown Jr.,,0.2,1.6,0.8,0.3,0,0.3,2.8
Drew Eubanks,,0,0.3,0,0,0,0.7,2.7
Chimezie Metu,,0,1.5,0.7,0.3,0.1,0.6,2.6
Jordan Bell,,0,2.7,1.3,0.5,0.9,0.4,2.6
Milos Teodosic,,0.5,1.3,2,0.3,0.1,0.9,2.6
Semi Ojeleye,,0.4,1.5,0.1,0.2,0.1,0.4,2.6
Lorenzo Brown,,0.3,1.1,0.9,0.4,0.3,0.8,2.6
Moritz Wagner,,0.5,1,0.8,0.3,0,0.5,2.5
